filename,width,height,class,xmin,ymin,xmax,ymax
frame226.jpg,1920,1080,bottle,952,366,1244,732
frame232.jpg,1920,1080,bottle,787,197,1060,635
frame46.jpg,1920,1080,syringe,810,62,1575,666
frame178.jpg,1920,1080,bottle,587,43,998,805
frame52.jpg,1920,1080,syringe,1175,116,1810,658
frame85.jpg,1920,1080,syringe,794,24,1460,743
frame91.jpg,1920,1080,syringe,591,16,871,705
frame193.jpg,1920,1080,bottle,598,220,956,832
frame187.jpg,1920,1080,bottle,641,93,1037,797
frame186.jpg,1920,1080,bottle,579,120,975,793
frame192.jpg,1920,1080,bottle,587,174,937,820
frame90.jpg,1920,1080,syringe,602,1,917,674
frame84.jpg,1920,1080,syringe,702,5,1448,597
frame151.jpg,1920,1080,bottle,791,82,1267,951
frame179.jpg,1920,1080,bottle,514,1,983,832
frame53.jpg,1920,1080,syringe,1106,1,1806,543
frame47.jpg,1920,1080,syringe,875,220,1544,843
frame233.jpg,1920,1080,bottle,879,262,1183,674
frame227.jpg,1920,1080,bottle,987,320,1279,697
frame219.jpg,1920,1080,bottle,806,355,1144,735
frame231.jpg,1920,1080,bottle,814,320,1133,712
frame225.jpg,1920,1080,bottle,937,339,1198,685
frame51.jpg,1920,1080,syringe,1198,74,1779,551
frame45.jpg,1920,1080,syringe,683,135,1541,762
frame153.jpg,1920,1080,bottle,775,101,1244,982
frame79.jpg,1920,1080,syringe,441,255,1494,589
frame92.jpg,1920,1080,syringe,514,43,802,716
frame86.jpg,1920,1080,syringe,791,5,1360,708
frame184.jpg,1920,1080,bottle,567,120,987,847
frame190.jpg,1920,1080,bottle,552,201,964,874
frame191.jpg,1920,1080,bottle,379,128,821,778
frame185.jpg,1920,1080,bottle,579,112,1006,835
frame87.jpg,1920,1080,syringe,721,5,1210,612
frame93.jpg,1920,1080,syringe,498,124,779,797
frame152.jpg,1920,1080,bottle,798,82,1241,982
frame78.jpg,1920,1080,syringe,610,305,1667,612
frame44.jpg,1920,1080,syringe,633,166,1510,801
frame50.jpg,1920,1080,syringe,1117,89,1748,678
frame224.jpg,1920,1080,bottle,1025,374,1267,732
frame230.jpg,1920,1080,bottle,898,278,1202,689
frame218.jpg,1920,1080,bottle,937,366,1233,762
frame234.jpg,1920,1080,bottle,875,243,1156,647
frame220.jpg,1920,1080,bottle,921,362,1198,712
frame208.jpg,1920,1080,bottle,1048,47,1533,935
frame68.jpg,1920,1080,syringe,844,155,1367,905
frame156.jpg,1920,1080,bottle,787,70,1248,935
frame54.jpg,1920,1080,syringe,1087,24,1864,597
frame40.jpg,1920,1080,syringe,525,301,1475,755
frame181.jpg,1920,1080,bottle,417,166,975,1043
frame195.jpg,1920,1080,bottle,329,143,760,812
frame97.jpg,1920,1080,syringe,537,105,852,747
frame83.jpg,1920,1080,syringe,644,51,1467,651
frame82.jpg,1920,1080,syringe,606,116,1483,643
frame96.jpg,1920,1080,syringe,587,97,852,739
frame194.jpg,1920,1080,bottle,560,274,941,889
frame180.jpg,1920,1080,bottle,444,1,987,805
frame41.jpg,1920,1080,syringe,552,143,1544,666
frame55.jpg,1920,1080,syringe,960,12,1825,643
frame157.jpg,1920,1080,bottle,798,105,1237,962
frame69.jpg,1920,1080,syringe,1071,197,1425,962
frame209.jpg,1920,1080,bottle,960,97,1414,966
frame221.jpg,1920,1080,bottle,1002,408,1302,743
frame235.jpg,1920,1080,bottle,875,324,1156,751
frame223.jpg,1920,1080,bottle,991,370,1264,708
frame237.jpg,1920,1080,bottle,714,262,1037,724
frame155.jpg,1920,1080,bottle,791,101,1237,951
frame169.jpg,1920,1080,bottle,814,216,1152,885
frame43.jpg,1920,1080,syringe,575,212,1483,805
frame57.jpg,1920,1080,syringe,664,20,1825,778
frame196.jpg,1920,1080,bottle,517,78,914,747
frame182.jpg,1920,1080,bottle,644,208,1121,1024
frame80.jpg,1920,1080,syringe,429,205,1471,574
frame94.jpg,1920,1080,syringe,448,166,771,828
frame95.jpg,1920,1080,syringe,537,120,829,728
frame81.jpg,1920,1080,syringe,544,166,1564,616
frame183.jpg,1920,1080,bottle,667,78,1087,882
frame197.jpg,1920,1080,bottle,548,185,917,793
frame56.jpg,1920,1080,syringe,860,5,1848,658
frame168.jpg,1920,1080,bottle,825,93,1175,824
frame42.jpg,1920,1080,syringe,541,193,1498,755
frame154.jpg,1920,1080,bottle,775,105,1229,993
frame236.jpg,1920,1080,bottle,718,332,1064,766
frame222.jpg,1920,1080,bottle,979,358,1241,697
frame245.jpg,1920,1080,bottle,741,197,1006,724
frame251.jpg,1920,1080,bottle,687,35,975,628
frame25.jpg,1920,1080,syringe,664,212,1317,901
frame31.jpg,1920,1080,syringe,506,416,1475,743
frame19.jpg,1920,1080,syringe,633,189,1010,1066
frame18.jpg,1920,1080,syringe,698,147,1033,1024
frame30.jpg,1920,1080,syringe,441,424,1421,808
frame24.jpg,1920,1080,syringe,694,239,1306,924
frame250.jpg,1920,1080,bottle,648,55,937,601
frame244.jpg,1920,1080,bottle,821,224,1152,801
frame246.jpg,1920,1080,bottle,633,147,917,674
frame32.jpg,1920,1080,syringe,602,301,1552,647
frame26.jpg,1920,1080,syringe,625,274,1291,905
frame27.jpg,1920,1080,syringe,656,282,1471,828
frame33.jpg,1920,1080,syringe,648,328,1679,624
frame247.jpg,1920,1080,bottle,679,178,948,658
frame243.jpg,1920,1080,bottle,737,201,1067,793
frame37.jpg,1920,1080,syringe,521,174,1610,555
frame109.jpg,1920,1080,syringe,348,328,1491,801
frame23.jpg,1920,1080,syringe,671,228,1260,958
frame108.jpg,1920,1080,syringe,244,389,1425,924
frame22.jpg,1920,1080,syringe,637,185,1221,974
frame36.jpg,1920,1080,syringe,560,78,1652,485
frame242.jpg,1920,1080,bottle,748,147,1114,762
frame240.jpg,1920,1080,bottle,825,147,1133,697
frame20.jpg,1920,1080,syringe,625,185,1056,1043
frame34.jpg,1920,1080,syringe,321,259,1417,548
frame35.jpg,1920,1080,syringe,329,220,1410,543
frame21.jpg,1920,1080,syringe,579,132,1133,966
frame241.jpg,1920,1080,bottle,848,185,1214,766
frame38.jpg,1920,1080,syringe,479,285,1467,682
frame106.jpg,1920,1080,syringe,191,251,1371,905
frame107.jpg,1920,1080,syringe,198,343,1371,897
frame39.jpg,1920,1080,syringe,448,278,1348,774
frame11.jpg,1920,1080,syringe,352,216,1444,878
frame13.jpg,1920,1080,syringe,437,5,1348,893
frame105.jpg,1920,1080,syringe,279,197,1425,1005
frame110.jpg,1920,1080,bottle,821,435,1167,835
frame104.jpg,1920,1080,syringe,356,97,1394,935
frame12.jpg,1920,1080,syringe,398,147,1371,916
frame100.jpg,1920,1080,syringe,429,47,1010,974
frame16.jpg,1920,1080,syringe,587,182,956,1078
frame17.jpg,1920,1080,syringe,656,155,941,1039
frame101.jpg,1920,1080,syringe,398,5,1094,943
frame249.jpg,1920,1080,bottle,683,143,948,658
frame103.jpg,1920,1080,syringe,252,66,1214,1016
frame29.jpg,1920,1080,syringe,460,389,1410,816
frame15.jpg,1920,1080,syringe,641,147,1063,1080
frame14.jpg,1920,1080,syringe,679,24,1291,1080
frame102.jpg,1920,1080,syringe,379,12,1125,1001
frame28.jpg,1920,1080,syringe,548,339,1429,824
frame248.jpg,1920,1080,bottle,683,197,964,697
frame207.jpg,1920,1080,bottle,979,158,1410,955
frame213.jpg,1920,1080,bottle,794,135,1244,893
frame67.jpg,1920,1080,syringe,717,112,1383,843
frame159.jpg,1920,1080,bottle,833,58,1217,862
frame73.jpg,1920,1080,syringe,694,120,1317,970
frame171.jpg,1920,1080,bottle,560,266,975,951
frame165.jpg,1920,1080,bottle,779,112,1175,724
frame98.jpg,1920,1080,syringe,564,35,860,708
frame99.jpg,1920,1080,syringe,506,8,875,805
frame164.jpg,1920,1080,bottle,802,174,1210,805
frame170.jpg,1920,1080,bottle,706,205,1071,855
frame158.jpg,1920,1080,bottle,710,193,1160,1043
frame72.jpg,1920,1080,syringe,860,112,1371,947
frame66.jpg,1920,1080,syringe,633,158,1537,882
frame212.jpg,1920,1080,bottle,660,305,1117,1080
frame206.jpg,1920,1080,bottle,906,135,1337,943
frame238.jpg,1920,1080,bottle,891,285,1183,724
frame210.jpg,1920,1080,bottle,817,274,1261,1080
frame204.jpg,1920,1080,bottle,698,124,1110,889
frame70.jpg,1920,1080,syringe,1133,151,1421,947
frame64.jpg,1920,1080,syringe,514,216,1737,824
frame166.jpg,1920,1080,bottle,737,197,1144,843
frame172.jpg,1920,1080,bottle,587,1,1067,808
frame58.jpg,1920,1080,syringe,375,147,1821,862
frame199.jpg,1920,1080,bottle,521,224,856,839
frame198.jpg,1920,1080,bottle,460,308,848,885
frame173.jpg,1920,1080,bottle,860,1,1325,666
frame59.jpg,1920,1080,syringe,425,278,1683,812
frame167.jpg,1920,1080,bottle,706,74,1141,785
frame65.jpg,1920,1080,syringe,521,147,1621,862
frame71.jpg,1920,1080,syringe,1017,62,1364,908
frame205.jpg,1920,1080,bottle,891,1,1329,770
frame211.jpg,1920,1080,bottle,729,439,1185,1080
frame239.jpg,1920,1080,bottle,991,185,1260,647
frame215.jpg,1920,1080,bottle,737,201,1179,816
frame201.jpg,1920,1080,bottle,541,105,910,797
frame229.jpg,1920,1080,bottle,837,289,1194,697
frame163.jpg,1920,1080,bottle,844,220,1206,797
frame49.jpg,1920,1080,syringe,1087,108,1752,689
frame177.jpg,1920,1080,bottle,479,193,891,874
frame75.jpg,1920,1080,syringe,567,278,1414,847
frame61.jpg,1920,1080,syringe,356,316,1656,789
frame188.jpg,1920,1080,bottle,567,5,1014,693
frame189.jpg,1920,1080,bottle,610,105,994,851
frame60.jpg,1920,1080,syringe,517,189,1717,697
frame74.jpg,1920,1080,syringe,606,124,1379,785
frame176.jpg,1920,1080,bottle,606,274,975,901
frame162.jpg,1920,1080,bottle,879,116,1264,762
frame48.jpg,1920,1080,syringe,983,208,1648,766
frame228.jpg,1920,1080,bottle,975,362,1252,720
frame200.jpg,1920,1080,bottle,533,105,856,755
frame214.jpg,1920,1080,bottle,914,93,1348,816
frame202.jpg,1920,1080,bottle,675,20,1048,785
